x,y,hour,temp,rel_humid,julday
3075000,6695000,0,1.7,87,93
3075000,6695000,3,1.6,88,93
3075000,6695000,6,1.3,89,93
3075000,6695000,9,1.5,88,93
3075000,6695000,12,1.8,86,93
3075000,6695000,15,1.8,86,93
3075000,6695000,18,1.8,87,93
3075000,6695000,21,1.9,86,93
3075000,6695000,0,1.9,87,94
3075000,6695000,3,1.7,88,94
3075000,6695000,6,1.4,89,94
3075000,6695000,9,1.5,89,94
3075000,6695000,12,1.8,87,94
3075000,6695000,15,1.9,86,94
3075000,6695000,18,1.9,87,94
3075000,6695000,21,2,87,94
3075000,6695000,0,2,87,95
3075000,6695000,3,1.9,88,95
3075000,6695000,6,1.5,89,95
3075000,6695000,9,1.6,89,95
3075000,6695000,12,1.9,88,95
3075000,6695000,15,2,87,95
3075000,6695000,18,1.9,87,95
3075000,6695000,21,2,87,95
3075000,6695000,0,2.1,88,96
3075000,6695000,3,2,88,96
3075000,6695000,6,1.6,89,96
3075000,6695000,9,1.7,89,96
3075000,6695000,12,1.9,88,96
3075000,6695000,15,2.1,87,96
3075000,6695000,18,2,88,96
3075000,6695000,21,2.1,87,96
3075000,6695000,0,2.1,88,97
3075000,6695000,3,2,88,97
3075000,6695000,6,1.7,89,97
3075000,6695000,9,1.8,89,97
3075000,6695000,12,2,88,97
3075000,6695000,15,2.1,87,97
3075000,6695000,18,2,88,97
3075000,6695000,21,2.2,87,97
3075000,6695000,0,2.2,88,98
3075000,6695000,3,2.1,88,98
3075000,6695000,6,1.8,89,98
3075000,6695000,9,1.8,89,98
3075000,6695000,12,2.1,88,98
3075000,6695000,15,2.2,87,98
3075000,6695000,18,2.1,87,98
3075000,6695000,21,2.2,87,98
3075000,6695000,0,2.3,88,99
3075000,6695000,3,2.2,88,99
3075000,6695000,6,1.9,89,99
3075000,6695000,9,2,88,99
3075000,6695000,12,2.1,88,99
3075000,6695000,15,2.3,86,99
3075000,6695000,18,2.2,87,99
3075000,6695000,21,2.3,87,99
3075000,6695000,0,2.3,88,100
3075000,6695000,3,2.2,88,100
3075000,6695000,6,2,88,100
3075000,6695000,9,2.1,88,100
3075000,6695000,12,2.2,87,100
3075000,6695000,15,2.3,86,100
3075000,6695000,18,2.3,87,100
3075000,6695000,21,2.3,87,100
3075000,6695000,0,2.4,87,101
3075000,6695000,3,2.2,88,101
3075000,6695000,6,2.1,88,101
3075000,6695000,9,2.2,87,101
3075000,6695000,12,2.3,87,101
3075000,6695000,15,2.4,85,101
3075000,6695000,18,2.4,87,101
3075000,6695000,21,2.4,87,101
3075000,6695000,0,2.4,87,102
3075000,6695000,3,2.3,88,102
3075000,6695000,6,2.2,87,102
3075000,6695000,9,2.3,86,102
3075000,6695000,12,2.4,86,102
3075000,6695000,15,2.5,85,102
3075000,6695000,18,2.5,86,102
3075000,6695000,21,2.5,87,102
3075000,6695000,0,2.5,87,103
3075000,6695000,3,2.3,88,103
3075000,6695000,6,2.2,87,103
3075000,6695000,9,2.4,86,103
3075000,6695000,12,2.4,85,103
3075000,6695000,15,2.6,85,103
3075000,6695000,18,2.6,86,103
3075000,6695000,21,2.5,86,103
3075000,6695000,0,2.5,87,104
3075000,6695000,3,2.3,87,104
3075000,6695000,6,2.3,86,104
3075000,6695000,9,2.5,85,104
3075000,6695000,12,2.5,85,104
3075000,6695000,15,2.6,84,104
3075000,6695000,18,2.7,86,104
3075000,6695000,21,2.6,86,104
3075000,6695000,0,2.6,87,105
3075000,6695000,3,2.4,87,105
3075000,6695000,6,2.4,86,105
3075000,6695000,9,2.6,84,105
3075000,6695000,12,2.6,84,105
3075000,6695000,15,2.7,84,105
3075000,6695000,18,2.8,85,105
3075000,6695000,21,2.7,86,105
3075000,6695000,0,2.7,86,106
3075000,6695000,3,2.5,87,106
3075000,6695000,6,2.5,86,106
3075000,6695000,9,2.7,84,106
3075000,6695000,12,2.7,84,106
3075000,6695000,15,2.8,83,106
3075000,6695000,18,2.9,85,106
3075000,6695000,21,2.8,86,106
3075000,6695000,0,2.8,86,107
3075000,6695000,3,2.5,87,107
3075000,6695000,6,2.6,86,107
3075000,6695000,9,2.8,84,107
3075000,6695000,12,2.7,83,107
3075000,6695000,15,2.9,83,107
3075000,6695000,18,3,85,107
3075000,6695000,21,2.9,86,107
3075000,6695000,0,2.9,86,108
3075000,6695000,3,2.7,87,108
3075000,6695000,6,2.7,86,108
3075000,6695000,9,2.9,84,108
3075000,6695000,12,2.8,83,108
3075000,6695000,15,2.9,83,108
3075000,6695000,18,3,85,108
3075000,6695000,21,3,86,108
3075000,6695000,0,3,86,109
3075000,6695000,3,2.8,87,109
3075000,6695000,6,2.8,86,109
3075000,6695000,9,3,84,109
3075000,6695000,12,2.9,83,109
3075000,6695000,15,3,83,109
3075000,6695000,18,3.1,85,109
3075000,6695000,21,3.1,86,109
3075000,6695000,0,3.2,86,110
3075000,6695000,3,2.9,87,110
3075000,6695000,6,2.9,86,110
3075000,6695000,9,3,84,110
3075000,6695000,12,3,83,110
3075000,6695000,15,3.1,83,110
3075000,6695000,18,3.2,85,110
3075000,6695000,21,3.3,86,110
3075000,6695000,0,3.3,86,111
3075000,6695000,3,3.1,86,111
3075000,6695000,6,3,86,111
3075000,6695000,9,3.1,85,111
3075000,6695000,12,3.1,83,111
3075000,6695000,15,3.2,83,111
3075000,6695000,18,3.3,85,111
3075000,6695000,21,3.4,86,111
3075000,6695000,0,3.4,86,112
3075000,6695000,3,3.2,86,112
3075000,6695000,6,3.1,86,112
3075000,6695000,9,3.2,85,112
3075000,6695000,12,3.2,84,112
